Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 377200  Y 474700
X 381349  Y 496631
X 381500  Y 476600
X 381702  Y 483828
X 381754  Y 485931
X 381800  Y 498900
X 382900  Y 490200
X 383400  Y 496800
X 384700  Y 498400
X 386000  Y 485300
X 386100  Y 478600
X 387000  Y 491300
X 388600  Y 493000
X 390300  Y 494500
X 392300  Y 493000
X 393400  Y 486300
X 393800  Y 489100
X 393860  Y 483282
X 393900  Y 474900
X 396800  Y 482200
X 397800  Y 497000
X 398000  Y 485700
X 398100  Y 494300
X 401000  Y 494300
X 401500  Y 485800
X 401812  Y 479339
X 401933  Y 482594
X 402500  Y 474300
X 404800  Y 494100
X 404897  Y 478204
X 405204  Y 482143
X 405600  Y 490200
X 406800  Y 494100
X 409600  Y 497200
X 409700  Y 486200
X 410300  Y 494200
X 411500  Y 481000
X 412500  Y 494100
X 412600  Y 486300
X 413248  Y 482150
X 414800  Y 486400
X 415800  Y 494100
X 416900  Y 479000
X 417973  Y 499043
X 418000  Y 494200
X 420900  Y 497700
X 421206  Y 494442
X 421358  Y 476150
X 422800  Y 481600
X 423170  Y 474691
X 424000  Y 498300
X 424978  Y 486664
X 425300  Y 489600
X 425971  Y 480464
X 426400  Y 498300
X 427300  Y 482100
X 428800  Y 478100
X 428800  Y 486100
X 429300  Y 491100
X 429500  Y 498300
X 431596  Y 498201
X 432000  Y 482400
X 433200  Y 489100
X 434800  Y 482500
X 437200  Y 491100
X 437543  Y 495300
X 438800  Y 497300
X 439611  Y 492983
X 441058  Y 489151
X 441638  Y 492917
X 443950  Y 482243
X 445000  Y 489200
X 445051  Y 477320
X 445400  Y 496100
X 446004  Y 482273
X 446169  Y 490959
X 448000  Y 498100
X 448219  Y 491461
X 448934  Y 479391
X 449066  Y 483259
X 449649  Y 481299
X 449700  Y 493200
X 449700  Y 495200
X 456290  Y 477102
X 460813  Y 492586
X 461426  Y 497755
X 462500  Y 491200
X 463200  Y 488100
X 463916  Y 497799
X 464252  Y 492541
X 465200  Y 488100
X 465954  Y 490968
X 468700  Y 487300
X 468851  Y 481360
X 470700  Y 478800
X 471189  Y 491922
X 472900  Y 478800
X 473052  Y 491891
X 474219  Y 476265
X 475000  Y 478700
X 476011  Y 486678
X 476447  Y 488816
X 476589  Y 496630
X 476908  Y 499061
X 477100  Y 478600
X 477695  Y 490413
X 478326  Y 496779
X 478963  Y 486552
X 479500  Y 480500
X 480366  Y 488093
X 480400  Y 478500
X 481900  Y 481300
X 483600  Y 487300
X 490300  Y 482800
X 491000  Y 497000
X 491700  Y 494900
X 491900  Y 491000
X 492800  Y 492900
X 492900  Y 489200
X 492900  Y 487100
X 496800  Y 477600
X 497600  Y 496100
X 497800  Y 491200
X 497800  Y 493500
X 498000  Y 504100
X 497200  Y 513600
X 494400  Y 519200
X 493200  Y 506700
X 490900  Y 505000
X 481100  Y 518600
X 481000  Y 500300
X 480100  Y 508200
X 479300  Y 519700
X 478600  Y 517800
X 477100  Y 505200
X 476855  Y 501190
X 476500  Y 518000
X 471899  Y 502517
X 470600  Y 505900
X 470595  Y 500225
X 469800  Y 507900
X 469200  Y 518800
X 467500  Y 507900
X 466120  Y 499456
X 464211  Y 503767
X 463000  Y 508600
X 462708  Y 501708
X 462612  Y 499552
X 462383  Y 504813
X 460694  Y 500755
X 460600  Y 508800
X 460303  Y 504700
X 457100  Y 524000
X 456300  Y 518800
X 449600  Y 524000
X 449300  Y 512000
X 449062  Y 518883
X 446700  Y 507500
X 444500  Y 507800
X 439100  Y 507500
X 437131  Y 510863
X 437099  Y 518471
X 433400  Y 509200
X 433400  Y 518263
X 433000  Y 507200
X 430210  Y 517675
X 429400  Y 502800
X 429300  Y 510500
X 429000  Y 519800
X 427000  Y 519100
X 425234  Y 520612
X 425216  Y 505796
X 424299  Y 509835
X 422841  Y 517463
X 421420  Y 504841
X 421396  Y 506938
X 420749  Y 509925
X 420748  Y 517501
X 420600  Y 513699
X 417800  Y 514200
X 417570  Y 516859
X 417500  Y 504900
X 417500  Y 506900
X 415500  Y 505800
X 415200  Y 513500
X 412400  Y 505900
X 410300  Y 509800
X 409600  Y 512800
X 409600  Y 517000
X 409581  Y 504953
X 409300  Y 514900
X 408500  Y 523500
X 407613  Y 513449
X 405700  Y 502900
X 405658  Y 506781
X 404600  Y 513800
X 402800  Y 505900
X 401900  Y 521100
X 400700  Y 505900
X 400500  Y 501700
X 399000  Y 517700
X 398900  Y 513800
X 398400  Y 502100
X 398300  Y 507000
X 395800  Y 501800
X 394200  Y 516400
X 393855  Y 520565
X 392900  Y 508400
X 392800  Y 501700
X 391500  Y 500000
X 391257  Y 509669
X 389834  Y 520957
X 387200  Y 509400
X 386700  Y 507400
X 386365  Y 503317
X 385800  Y 500100
X 385000  Y 509500
X 383511  Y 502797
X 382424  Y 506198
X 382058  Y 504200
X 382000  Y 521100
X 381800  Y 515700
X 381164  Y 518792
X 376975  Y 523778
X 374231  Y 511922
X 373900  Y 500000
X 373218  Y 505708
X 372000  Y 500000
X 371880  Y 506978
X 389000  Y 525600
X 414000  Y 525400
X 445000  Y 525200
X 454000  Y 525400
X 472800  Y 525200
X 478800  Y 524800
X 480600  Y 524800
X 495800  Y 525600

Drill: .01  Tool: 2  Feed: 95  Speed: 300
X 422800  Y 486500

Drill: .02362  Tool: 3  Feed: 197  Speed: 550
X 493326  Y 523228 X 486988  Y 523228
X 493326  Y 476771 X 486988  Y 476771

End of Listing
